ID Client,Age,Annual Income,Purchase Score
1,56,33,4
2,69,74,9
3,46,27,79
4,32,53,62
5,60,85,24
6,25,66,43
7,38,116,24
8,56,133,29
9,36,148,13
10,40,125,85
11,28,102,42
12,28,51,27
13,41,37,93
14,53,132,18
15,57,33,41
16,41,145,19
17,20,115,98
18,39,127,85
19,19,62,78
20,41,141,10
21,61,109,53
22,47,14,97
23,55,58,23
24,19,107,69
25,38,39,16
26,50,81,27
27,29,112,49
28,39,72,94
29,61,35,99
30,42,46,54
31,66,16,72
32,44,136,9
33,59,101,20
34,45,112,57
35,33,62,33
36,32,141,94
37,64,117,92
38,68,121,42
39,61,16,10
40,69,76,32
41,20,117,57
42,54,120,45
43,68,92,60
44,24,133,61
45,38,148,0
46,26,113,20
47,56,76,61
48,35,16,63
49,21,119,86
50,42,43,72
51,31,115,55
52,67,67,0
53,26,18,20
54,43,57,21
55,19,124,53
56,37,50,3
57,45,57,64
58,64,34,50
59,24,125,73
60,61,87,62
61,25,117,14
62,64,34,35
63,52,48,28
64,31,128,51
65,34,88,45
66,53,89,68
67,67,36,28
68,57,113,46
69,21,83,90
70,19,77,24
71,23,37,79
72,59,132,15
73,21,147,99
74,46,92,88
75,35,39,40
76,43,31,64
77,61,12,68
78,51,110,19
79,27,114,68
80,53,11,35
81,31,63,92
82,48,15,97
83,65,116,57
84,32,132,47
85,25,11,81
86,31,120,1
87,40,11,79
88,57,102,28
89,38,110,96
90,33,106,15
91,62,120,34
92,35,15,61
93,64,136,80
94,41,113,3
95,43,10,67
96,42,42,50
97,62,49,88
98,58,41,32
99,46,26,77
100,32,135,23
101,62,17,74
102,18,66,24
103,42,51,27
104,24,107,6
105,26,146,35
106,41,129,9
107,18,96,35
108,61,63,94
109,25,93,82
110,41,34,17
111,28,76,5
112,68,55,91
113,34,31,6
114,25,148,11
115,52,17,40
116,52,48,62
117,50,58,97
118,22,55,24
119,59,47,80
120,56,145,52
121,58,63,32
122,45,101,86
123,24,49,72
124,26,43,5
125,25,105,61
126,29,88,65
127,51,136,8
128,50,26,66
129,65,119,15
130,40,61,88
131,41,127,87
132,54,18,92
133,52,42,54
134,61,122,39
135,57,94,25
136,39,19,37
137,44,15,34
138,52,124,86
139,18,130,67
140,52,74,58
141,54,29,13
142,64,66,46
143,31,55,70
144,20,145,71
145,18,19,41
146,22,122,50
147,43,148,18
148,31,21,65
149,56,147,46
150,44,20,64
151,26,127,41
152,32,48,37
153,32,62,12
154,43,65,43
155,59,113,23
156,30,138,95
157,68,65,29
158,49,127,69
159,56,141,37
160,66,39,96
161,69,21,22
162,49,44,73
163,21,86,56
164,47,111,78
165,54,96,22
166,40,61,35
167,56,89,56
168,62,144,0
169,32,31,71
170,60,84,2
171,46,67,13
172,53,102,80
173,30,112,33
174,49,149,69
175,24,16,68
176,68,137,50
177,39,64,28
178,45,115,98
179,19,71,81
180,59,99,47
181,62,107,93
182,23,86,78
183,45,128,78
184,45,45,15
185,61,98,56
186,61,139,96
187,37,102,9
188,47,123,18
189,28,37,100
190,45,42,66
191,42,29,35
192,56,149,3
193,50,110,74
194,18,32,32
195,44,121,27
196,69,23,95
197,30,100,79
198,58,86,8
199,20,94,74
200,56,118,5
201,23,40,48
202,25,131,90
203,44,116,75
204,26,63,21
205,54,142,47
206,50,52,100
207,68,98,20
208,59,124,32
209,61,108,80
210,41,56,55
211,32,80,28
212,49,76,52
213,49,71,39
214,41,118,73
215,58,46,17
216,69,128,46
217,66,95,12
218,66,135,26
219,69,145,61
220,29,61,73
221,56,100,95
222,19,42,44
223,20,90,2
224,66,51,21
225,54,121,26
226,66,135,54
227,34,145,66
228,66,115,32
229,19,134,1
230,19,122,74
231,45,73,45
232,40,132,73
233,54,123,32
234,49,29,57
235,50,25,6
236,18,28,14
237,36,129,25
238,19,145,10
239,61,47,37
240,43,102,26
241,49,114,6
242,23,109,0
243,49,99,73
244,21,53,20
245,28,85,78
246,34,88,29
247,55,82,93
248,41,149,7
249,22,105,87
250,69,98,82
251,51,112,2
252,23,15,54
253,39,131,14
254,28,125,35
255,65,71,5
256,33,145,41
257,50,98,49
258,26,105,17
259,23,135,82
260,33,99,49
261,46,95,29
262,20,147,76
263,37,130,38
264,53,85,11
265,36,101,97
266,43,79,58
267,20,142,75
268,36,32,43
269,37,146,87
270,49,67,3
271,24,55,35
272,69,31,47
273,58,17,13
274,50,132,80
275,57,29,48
276,56,87,66
277,35,48,86
278,57,46,76
279,18,84,8
280,28,127,20
281,45,113,71
282,42,40,80
283,67,132,15
284,40,63,15
285,48,43,27
286,47,131,50
287,59,122,55
288,52,71,79
289,24,32,56
290,33,55,51
291,43,65,45
292,65,144,77
293,69,127,37
294,66,140,83
295,19,122,47
296,18,53,40
297,65,137,97
298,29,117,58
299,22,26,92
300,54,68,66
301,49,147,73
302,26,108,83
303,58,93,65
304,52,54,26
305,36,117,31
306,65,71,55
307,33,68,9
308,20,147,39
309,37,20,16
310,41,111,57
311,50,79,96
312,41,132,5
313,69,43,38
314,28,110,17
315,66,113,72
316,25,49,71
317,53,28,88
318,55,76,94
319,57,91,41
320,37,73,3
321,52,92,19
322,65,56,27
323,42,15,39
324,52,25,64
325,42,48,43
326,46,122,22
327,35,149,56
328,63,147,46
329,35,80,12
330,19,119,15
331,52,64,89
332,33,138,54
333,58,58,94
334,53,30,64
335,50,46,80
336,21,125,15
337,50,33,36
338,31,64,51
339,38,34,9
340,65,144,37
341,37,136,43
342,25,102,94
343,24,103,73
344,20,80,53
345,34,131,97
346,50,33,50
347,65,20,51
348,29,82,69
349,68,21,91
350,39,44,91
351,39,32,58
352,63,92,12
353,47,97,40
354,55,89,11
355,55,106,49
356,62,149,56
357,68,43,49
358,25,84,56
359,44,137,53
360,44,40,65
361,51,139,7
362,38,112,62
363,47,24,8
364,50,66,59
365,45,84,62
366,64,43,71
367,50,112,2
368,22,84,72
369,65,38,12
370,36,25,8
371,21,86,94
372,52,46,88
373,66,90,51
374,34,133,61
375,61,28,7
376,45,111,94
377,47,145,44
378,46,86,52
379,63,50,62
380,23,70,94
381,52,35,80
382,58,80,56
383,54,112,53
384,41,79,18
385,46,116,66
386,66,116,45
387,63,112,93
388,48,28,9
389,52,77,92
390,50,79,17
391,69,122,11
392,38,66,48
393,49,70,22
394,40,101,61
395,50,39,10
396,20,136,72
397,35,124,55
398,42,15,87
399,59,27,88
400,48,19,54
401,20,101,24
402,57,148,8
403,63,86,11
404,41,110,10
405,67,93,37
406,49,61,27
407,64,40,7
408,39,119,73
409,40,102,88
410,19,62,46
411,44,95,35
412,59,11,49
413,19,95,8
414,43,142,59
415,34,13,71
416,57,15,66
417,50,127,52
418,26,98,81
419,60,23,98
420,65,65,16
421,56,90,99
422,46,55,52
423,59,25,27
424,43,129,62
425,52,93,14
426,67,17,18
427,42,97,85
428,41,140,69
429,30,28,46
430,24,106,70
431,53,75,47
432,62,88,72
433,37,95,19
434,18,133,36
435,25,55,74
436,63,122,1
437,33,100,63
438,31,42,85
439,29,142,35
440,68,86,4
441,40,130,63
442,32,137,6
443,45,87,69
444,51,76,21
445,19,124,73
446,49,72,45
447,40,122,39
448,39,103,60
449,68,57,45
450,42,21,83
451,39,49,27
452,39,94,86
453,66,66,34
454,69,96,0
455,59,93,28
456,23,130,8
457,32,83,8
458,60,116,21
459,54,133,62
460,50,109,65
461,25,52,79
462,61,128,57
463,61,32,69
464,22,46,54
465,56,143,12
466,21,74,96
467,23,143,18
468,62,31,78
469,49,114,32
470,69,97,73
471,47,134,64
472,64,88,59
473,52,99,11
474,57,60,42
475,69,111,92
476,33,115,16
477,30,69,67
478,67,55,28
479,59,45,54
480,47,20,6
481,36,21,43
482,34,48,76
483,36,148,4
484,45,45,59
485,43,61,5
486,54,40,97
487,43,42,6
488,40,67,45
489,26,137,56
490,29,40,53
491,18,64,91
492,18,19,45
493,64,139,9
494,51,24,3
495,49,12,66
496,65,52,24
497,42,76,86
498,57,65,90
499,62,72,77
500,18,24,60
501,33,118,37
502,56,125,31
503,22,101,22
504,39,147,36
505,46,56,2
506,20,66,98
507,29,59,12
508,43,80,33
509,33,91,87
510,68,125,64
511,54,114,75
512,39,97,7
513,46,11,82
514,31,113,8
515,45,93,27
516,22,52,77
517,64,80,90
518,66,103,17
519,47,51,41
520,63,142,40
521,69,148,69
522,22,74,32
523,29,43,100
524,33,129,88
525,43,10,76
526,43,139,53
527,65,70,86
528,38,97,35
529,56,77,96
530,53,136,84
531,50,149,97
532,47,31,55
533,54,91,99
534,40,138,16
535,27,39,9
536,22,135,86
537,53,106,43
538,51,33,1
539,69,23,98
540,48,45,13
541,27,33,40
542,36,104,1
543,49,64,18
544,18,33,79
545,22,35,88
546,62,89,0
547,21,74,1
548,33,84,26
549,41,52,1
550,33,38,93
551,19,90,50
552,66,63,9
553,45,48,18
554,49,51,79
555,44,38,12
556,37,140,47
557,41,147,55
558,29,51,71
559,67,103,55
560,52,41,49
561,50,35,94
562,50,124,44
563,68,138,88
564,60,65,58
565,54,131,38
566,29,115,20
567,20,139,54
568,18,90,56
569,50,129,40
570,57,61,92
571,27,100,69
572,60,146,81
573,61,31,48
574,46,43,43
575,30,119,34
576,29,58,90
577,48,138,4
578,63,82,70
579,19,93,73
580,68,62,73
581,67,109,50
582,52,133,56
583,40,54,57
584,34,146,91
585,43,114,35
586,25,115,9
587,46,52,49
588,43,143,98
589,27,57,98
590,43,135,36
591,51,16,19
592,68,25,12
593,58,138,74
594,24,124,18
595,21,46,91
596,67,134,55
597,62,90,44
598,28,71,59
599,46,81,67
600,53,134,56
601,42,75,53
602,38,39,36
603,53,29,82
604,27,91,36
605,54,116,13
606,26,141,94
607,41,46,91
608,52,141,99
609,66,86,43
610,52,98,82
611,65,97,41
612,53,42,0
613,35,67,22
614,66,37,63
615,56,44,27
616,49,134,3
617,41,147,40
618,40,74,59
619,49,51,17
620,54,94,62
621,29,146,60
622,66,120,48
623,30,24,46
624,40,78,38
625,42,114,88
626,52,73,81
627,58,50,5
628,47,80,82
629,34,65,52
630,66,34,75
631,37,114,24
632,65,143,98
633,42,128,64
634,39,18,4
635,30,69,64
636,36,134,7
637,66,58,38
638,53,60,42
639,29,79,81
640,58,46,72
641,36,40,4
642,29,71,3
643,26,102,92
644,24,23,0
645,45,88,93
646,31,17,55
647,48,45,44
648,69,57,64
649,36,94,2
650,64,37,21
651,33,60,71
652,22,113,55
653,52,110,17
654,29,38,24
655,42,136,47
656,69,91,83
657,38,19,30
658,53,115,29
659,40,10,79
660,33,48,65
661,56,30,80
662,62,74,9
663,59,24,70
664,56,141,58
665,31,70,50
666,48,147,8
667,22,96,53
668,52,114,61
669,40,43,80
670,46,133,8
671,60,119,8
672,28,42,100
673,35,107,23
674,64,70,38
675,29,19,74
676,26,93,7
677,27,74,24
678,61,86,65
679,34,10,9
680,55,142,23
681,24,89,79
682,63,24,82
683,30,37,58
684,57,32,30
685,59,118,10
686,26,116,5
687,67,122,69
688,44,107,31
689,19,148,38
690,22,37,47
691,46,51,12
692,54,108,58
693,55,70,66
694,36,132,55
695,25,73,40
696,65,40,55
697,62,90,34
698,18,19,37
699,39,17,80
700,69,68,66
701,34,39,33
702,24,29,75
703,42,57,87
704,62,139,69
705,21,46,10
706,53,138,26
707,23,141,47
708,48,109,23
709,36,63,17
710,61,131,26
711,56,34,53
712,44,140,54
713,27,18,20
714,43,43,58
715,36,52,33
716,56,83,96
717,20,103,57
718,62,31,47
719,30,79,53
720,67,139,17
721,45,103,2
722,37,41,23
723,45,115,0
724,25,10,5
725,58,81,18
726,56,59,85
727,18,24,42
728,20,62,7
729,30,17,68
730,45,83,51
731,66,55,72
732,42,78,46
733,50,123,84
734,55,132,27
735,23,148,45
736,61,126,3
737,62,52,87
738,49,29,7
739,62,30,60
740,64,91,16
741,38,66,33
742,33,83,19
743,38,107,79
744,28,119,73
745,54,124,33
746,53,51,42
747,52,77,9
748,36,79,93
749,37,87,29
750,35,99,24
751,64,120,56
752,58,121,62
753,66,112,70
754,31,28,46
755,32,79,83
756,48,72,80
757,18,84,2
758,20,113,45
759,33,84,35
760,40,137,25
761,28,65,9
762,29,31,33
763,27,98,77
764,49,28,7
765,33,35,54
766,25,32,90
767,55,56,9
768,29,22,56
769,41,75,78
770,45,82,100
771,25,86,85
772,45,40,44
773,53,94,49
774,43,68,63
775,25,50,94
776,67,121,1
777,45,105,44
778,45,131,94
779,54,114,61
780,58,83,13
781,53,141,73
782,44,108,93
783,34,135,99
784,26,147,14
785,50,84,13
786,37,23,30
787,30,47,28
788,45,149,26
789,65,54,84
